all_gap_point_count,layer,matched_gap_all_solver_success_percent,matched_gap_qualified_reference_percent,mean_corrected_segments,network_hds_acceptance_rate_percent,problem,qualified_gap_point_count,seed,selected_points
50,near_ood_0_10pct,0.5153926245017638,0.5153926245017638,0.46,100.0,vdp,50,20260771,50
44,far_ood_10_20pct,1.6732490524697754,1.6732490524697754,0.94,88.0,vdp,44,20260771,50
50,near_ood_0_10pct,0.5862642108582176,0.5862642108582176,0.46,100.0,vdp,50,20260772,50
45,far_ood_10_20pct,1.9281789795308781,1.9281789795308781,0.9,90.0,vdp,45,20260772,50
50,near_ood_0_10pct,0.2963940139806762,0.2963940139806762,0.36,100.0,vdp,50,20260773,50
43,far_ood_10_20pct,1.914246589382814,1.914246589382814,0.76,86.0,vdp,43,20260773,50
50,near_ood_0_10pct,0.33844366707778983,0.33844366707778983,0.3,100.0,vdp,50,20260774,50
49,far_ood_10_20pct,2.0422901365418618,2.0422901365418618,0.74,98.0,vdp,49,20260774,50
50,near_ood_0_10pct,0.25833775619572724,0.25833775619572724,0.46,100.0,vdp,50,20260775,50
44,far_ood_10_20pct,1.5611457975470011,1.5611457975470011,0.82,88.0,vdp,44,20260775,50
50,near_ood_0_10pct,0.5058241835196191,0.5058241835196191,0.32,100.0,vdp,50,20260776,50
45,far_ood_10_20pct,2.0110297469901193,2.0110297469901193,0.86,90.0,vdp,45,20260776,50
50,near_ood_0_10pct,0.33931988614730657,0.33931988614730657,0.28,100.0,vdp,50,20260777,50
48,far_ood_10_20pct,1.5364190981280659,1.5364190981280659,1.0,96.0,vdp,48,20260777,50
50,near_ood_0_10pct,0.25068360023302494,0.25068360023302494,0.24,100.0,vdp,50,20260778,50
49,far_ood_10_20pct,1.6050990420444196,1.6050990420444196,0.82,98.0,vdp,49,20260778,50
50,near_ood_0_10pct,0.25384784776051594,0.25384784776051594,0.44,100.0,vdp,50,20260779,50
46,far_ood_10_20pct,1.690442516400161,1.690442516400161,0.82,92.0,vdp,46,20260779,50
50,near_ood_0_10pct,0.33617275674217983,0.33617275674217983,0.7,100.0,vdp,50,20260780,50
49,far_ood_10_20pct,1.9395950647705833,1.9395950647705833,1.08,98.0,vdp,49,20260780,50
50,near_ood_0_10pct,0.21262823469960793,0.21262823469960793,0.34,100.0,vdp,50,20260781,50
43,far_ood_10_20pct,1.1353311253463654,1.1353311253463654,0.68,86.0,vdp,43,20260781,50
50,near_ood_0_10pct,0.29389657493742927,0.29389657493742927,0.4,100.0,vdp,50,20260782,50
45,far_ood_10_20pct,2.1323105326877836,2.1323105326877836,0.92,90.0,vdp,45,20260782,50
50,near_ood_0_10pct,0.3108727984911948,0.3108727984911948,0.46,100.0,vdp,50,20260783,50
46,far_ood_10_20pct,1.886043517335188,1.886043517335188,0.76,92.0,vdp,46,20260783,50
50,near_ood_0_10pct,0.3743437278871991,0.3743437278871991,0.3,100.0,vdp,50,20260784,50
40,far_ood_10_20pct,2.1471562114736225,2.1471562114736225,0.8,80.0,vdp,40,20260784,50
50,near_ood_0_10pct,0.4282862891504889,0.4282862891504889,0.38,100.0,vdp,50,20260785,50
45,far_ood_10_20pct,1.6962985048562547,1.6962985048562547,0.9,90.0,vdp,45,20260785,50
50,near_ood_0_10pct,0.28115513841065654,0.28115513841065654,0.38,100.0,vdp,50,20260786,50
41,far_ood_10_20pct,1.664139207427986,1.664139207427986,0.78,82.0,vdp,41,20260786,50
50,near_ood_0_10pct,0.2509647732904225,0.2509647732904225,0.3,100.0,vdp,50,20260787,50
47,far_ood_10_20pct,1.3692272667814405,1.3692272667814405,0.86,94.0,vdp,47,20260787,50
50,near_ood_0_10pct,0.2677540908011767,0.2677540908011767,0.26,100.0,vdp,50,20260788,50
46,far_ood_10_20pct,1.6003647372634862,1.6003647372634862,0.76,92.0,vdp,46,20260788,50
50,near_ood_0_10pct,0.29883667515296036,0.29883667515296036,0.6,100.0,vdp,50,20260789,50
48,far_ood_10_20pct,1.711175570740716,1.711175570740716,0.96,96.0,vdp,48,20260789,50
49,near_ood_0_10pct,0.27794199316918783,0.27794199316918783,0.3,98.0,vdp,49,20260790,50
44,far_ood_10_20pct,1.84673674830026,1.84673674830026,0.84,88.0,vdp,44,20260790,50
49,near_ood_0_10pct,0.27797581275327604,0.27797581275327604,0.42,98.0,vdp,49,20260791,50
41,far_ood_10_20pct,2.1507295965607183,2.1507295965607183,0.88,82.0,vdp,41,20260791,50
50,near_ood_0_10pct,0.2525872794692947,0.2525872794692947,0.36,100.0,vdp,50,20260792,50
46,far_ood_10_20pct,1.9600027917229652,1.9600027917229652,0.92,92.0,vdp,46,20260792,50
50,near_ood_0_10pct,0.2777114912421991,0.2777114912421991,0.44,100.0,vdp,50,20260793,50
46,far_ood_10_20pct,1.4629573030614558,1.4629573030614558,0.78,92.0,vdp,46,20260793,50
50,near_ood_0_10pct,0.3145893309304348,0.3145893309304348,0.4,100.0,vdp,50,20260794,50
46,far_ood_10_20pct,1.7657599398485777,1.7657599398485777,0.92,92.0,vdp,46,20260794,50
50,near_ood_0_10pct,0.29012807339317637,0.29012807339317637,0.52,100.0,vdp,50,20260795,50
43,far_ood_10_20pct,2.0755855603744595,2.0755855603744595,0.84,86.0,vdp,43,20260795,50
50,near_ood_0_10pct,0.3240478584168742,0.3240478584168742,0.56,100.0,vdp,50,20260796,50
44,far_ood_10_20pct,2.239556573547276,2.239556573547276,0.78,88.0,vdp,44,20260796,50
50,near_ood_0_10pct,0.33743068095800655,0.33743068095800655,0.52,100.0,vdp,50,20260797,50
43,far_ood_10_20pct,1.7459145786179713,1.7459145786179713,0.68,86.0,vdp,43,20260797,50
49,near_ood_0_10pct,0.3233222743704065,0.3233222743704065,0.48,98.0,vdp,49,20260798,50
40,far_ood_10_20pct,2.0894236397602346,2.0894236397602346,0.82,80.0,vdp,40,20260798,50
49,near_ood_0_10pct,0.31067099870241555,0.31067099870241555,0.6,98.0,vdp,49,20260799,50
41,far_ood_10_20pct,1.8021729148226275,1.8021729148226275,0.86,82.0,vdp,41,20260799,50
